,top_x,top_y
0,21.682926829268293,-4.097560975609756
1,129.5344827586207,-5.120689655172414
2,157.42857142857142,-3.3142857142857145
3,217.8835294117647,-30.38705882352941
4,230.7941176470588,-3.176470588235294
5,133.7228782287823,-99.85166051660516
6,234.04166666666666,-17.041666666666668
7,201.04166666666666,-25.041666666666668
8,16.589285714285715,-51.732142857142854
9,123.70454545454545,-79.47727272727273
10,106.1948051948052,-85.3051948051948
11,1.9565217391304348,-91.08695652173913
12,109.3173076923077,-104.16346153846153
13,128.08333333333334,-131.0595238095238
14,59.54761904761905,-137.23809523809524
15,97.01666666666667,-166.15
16,41.7254528122021,-231.0829361296473
17,172.2651515151515,-173.28030303030303
18,126.65948275862068,-197.31465517241378
19,65.91666666666667,-200.75
20,167.51315789473685,-220.18859649122808
21,97.8529411764706,-234.54901960784315
22,2.5384615384615383,-256.4230769230769
23,238.47245762711864,-265.80720338983053
24,145.32552083333334,-266.1796875
25,68.76041666666667,-258.6354166666667
26,238.11111111111111,-277.6111111111111
27,157.8904109589041,-305.2739726027397
